DemandNo,HoldingNo,Date,GeneratedBy,ARV,CurrentYearTaxNet,PreviousYearsTaxBase,TotalFineAmount,OtherCharges,TotalAmountDemanded
1,MUNG- 02032,27-07-2026,System (Bulk Batch),797148,71743.32,0,0,30000,101743.32
2,MUNG-08257,27-07-2026,System (Bulk Batch),836352,75271.68,0,0,6000,81271.68
3,MUNG- 04158,27-07-2026,System (Bulk Batch),214480,19303.2,0,0,1200,20503.2
4,MUNG- 03753,27-07-2026,System (Bulk Batch),331632,29846.88,0,0,6000,35846.88
5,MUNG- 11080,27-07-2026,System (Bulk Batch),3674602.8,345578.03,0,0,6000,351578.03
6,MUNG- 16833,27-07-2026,System (Bulk Batch),142987.9,12868.91,0,0,1200,14068.91
7,MUNG- 10511,27-07-2026,System (Bulk Batch),212004.9,19080.44,0,0,6000,25080.44
8,MUNG- 12058,27-07-2026,System (Bulk Batch),178095.07,16028.56,0,0,12000,28028.56
9,MUNG- 03259,27-07-2026,System (Bulk Batch),278256,25043.04,0,0,12000,37043.04
10,MUNG- 16508,27-07-2026,System (Bulk Batch),153791.9,13841.27,0,0,1200,15041.27
11,MUNG- 13780,27-07-2026,System (Bulk Batch),134640,12117.6,0,0,18000,30117.6
12,MUNG- 04176,27-07-2026,System (Bulk Batch),77640,6987.6,0,0,1200,8187.6
13,MUNG- 12370,27-07-2026,System (Bulk Batch),942031.2,126089.81,0,0,30000,156089.81
14,MUNG- 19308,27-07-2026,System (Bulk Batch),5312722.8,506770.04,0,0,18000,524770.04
15,MUNG- 04083,27-07-2026,System (Bulk Batch),61505.32,17326.49,0,0,360,17686.49
16,MUNG- 10149,27-07-2026,System (Bulk Batch),367901.6,34514.65,0,0,6000,40514.65
17,MUNG- 11608,27-07-2026,System (Bulk Batch),134887.4,20553.54,0,0,6000,26553.54
18,MUNG- 11258,27-07-2026,System (Bulk Batch),255679.78,26588.8,0,0,30000,56588.8
19,MUNG- 00802,27-07-2026,System (Bulk Batch),195481.27,17593.31,0,0,12000,29593.31
20,MUNG- 11855,27-07-2026,System (Bulk Batch),173978.2,15658.04,0,0,1200,16858.04
21,MUNG- 01509,27-07-2026,System (Bulk Batch),121944.6,10975.01,0,0,1200,12175.01
22,MUNG- 13435,27-07-2026,System (Bulk Batch),51108.75,4599.79,0,0,360,4959.79
23,MUNG- 03677,27-07-2026,System (Bulk Batch),294346.8,28471.28,0,0,6000,34471.28
24,MUNG- 10223,27-07-2026,System (Bulk Batch),142683.2,12841.49,0,0,6000,18841.49
25,MUNG-01121,27-07-2026,System (Bulk Batch),270825.3,24374.28,0,0,3000,27374.28
26,MUNG- 18509,27-07-2026,System (Bulk Batch),186590.25,24782.69,0,0,6000,30782.69
27,MUNG- 18510,27-07-2026,System (Bulk Batch),1397946,125815.14,0,0,6000,131815.14
28,MUNG- 15180,27-07-2026,System (Bulk Batch),1960402.4,176436.22,0,0,6000,182436.22
29,MUNG- 03241,27-07-2026,System (Bulk Batch),1968061.7,177125.55,0,0,18000,195125.55
