HoldingNo,Floor,BuildupSqft,ConstType,Usage,Occupancy,YearBuilt,ClosingYear,FloorARV,FloorTax
MUNG-28793,Ground Floor - 0,1200,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",rented,,,,
MUNG-28793,Ground Floor - 0,1100,Other,Residential,self,,,,
MUNG-28793,First Floor - 1,200,Other,Residential,self,,,,
MUNG-28793,Ground Floor - 0,1680,Other,Residential,self,,,,
MUNG-08257,Ground Floor - 0,3960,RCC,"commercial est. , State and Central undertakings",rented,,,,
MUNG-08257,First Floor - 1,3960,RCC,"commercial est. , State and Central undertakings",rented,,,,
MUNG- 04158,Ground Floor - 0,2800,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 04158,First Floor - 1,2800,RCC,Residential,self,,,,
MUNG- 04158,Second Floor - 2,2800,RCC,Residential,self,,,,
MUNG- 03753,Ground Floor - 0,1504,RCC,"Coaching classes, guidance and training centres and their hostels",rented,,,,
MUNG- 03753,First Floor - 1,1504,RCC,"Coaching classes, guidance and training centres and their hostels",self,,,,
MUNG- 03753,Second Floor - 2,1504,RCC,"Coaching classes, guidance and training centres and their hostels",self,,,,
MUNG- 03753,Third Floor - 3,1504,RCC,Residential,self,,,,
MUNG- 03753,Fourth Floor - 4,1504,RCC,Residential,self,,,,
MUNG- 03753,Fifth Floor - 5,1504,RCC,Residential,self,,,,
MUNG- 11080,Ground Floor - 0,17235,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",self,,,,
MUNG- 11080,Ground Floor - 0,873,Asbestos,any other,self,,,,
MUNG- 11080,First Floor - 1,17235,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",self,,,,
MUNG- 11080,Second Floor - 2,17235,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",self,,,,
MUNG- 11080,Third Floor - 3,17235,RCC,"pvt school, pvt college, pvt research institutes,other pvt institutes and their hostels",self,,,,
MUNG- 16833,Ground Floor - 0,496,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 16833,Ground Floor - 0,4168,RCC,Residential,rented,,,,
MUNG- 16833,First Floor - 1,4664,RCC,Residential,rented,,,,
MUNG- 16833,Second Floor - 2,2771,RCC,Residential,self,,,,
MUNG- 10511,Ground Floor - 0,969,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",rented,,,,
MUNG- 10511,Ground Floor - 0,1045,RCC,Residential,self,,,,
MUNG- 10511,First Floor - 1,236,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",self,,,,
MUNG- 10511,First Floor - 1,1778,RCC,Residential,self,,,,
MUNG- 02032,Basement - -1,1170,RCC,"industry, workshop, storage, godown, warehouse",rented,,,,
